day,date,start,finish,distance,ascent,descent,duration,pauses,total,mean_speed,max_speed
1,2024-08-14,"Kirk Yetholm","Clennell Street",18.45,1129.24,705.14,4:45:11,0:1:18,4:46:29,3.88,5.7
2,2024-08-15,"Clennell Street","Bryness",23.554,736.15,1052.45,6:00:26,0:31:57,6:32:24,3.92,5.93
3,2024-08-16,"Bryness","Hadrians Wall",47.904,1573.63,1503.53,11:12:51,3:43:42,14:56:34,4.27,6.15
4,2024-08-17,"Hadrians Wall","Garigill",49.112,1907.28,1871.28,13:23:58,1:44:56,15:08:54,3.67,6.14
5,2024-08-18,"Garigill","High Cup Nick",33.094,1593.73,1381.03,8:38:28,2:53:02,11:31:31,3.83,6.51
6,2024-08-19,"High Cup Nick","Middleton in Teesdale",28.341,840.14,1190.44,7:14:33,0:8:54,7:23:27,3.91,6.59
7,2024-08-20,"Middleton in Teesdale","Thwaite",42.736,1704.63,1684.63,10:23:16,2:27:48,12:51:04,4.11,6.07
8,2024-08-21,"Thwaite","Horton in Ribblesdale",40.691,1547.21,1619.61,9:30:41,2:43:40,12:14:22,4.28,6.24
9,2024-08-22,"Horton in Ribblesdale","Gargrave",38.811,1759.36,1908.96,10:17:26,2:21:08,12:38:34,3.77,6.43
10,2024-08-23,"Gargrave","Colden",47.980,2302.5,2121.5,11:22:01,0:24:09,11:46:10,4.22,6.77
11,2024-08-24,"Colden","Crowden",49.205,2512.51,2582.31,11:12:44,1:03:51,12:16:35,4.39,7.05
12,2024-08-25,"Crowden","Edale",28.535,1323.47,1305.07,6:58:46,0:20:43,7:19:29,4.09,6.62
